Слово | Перевод | Количество
в | V | 31
вы | You | 22
и | And | 18
на | on | 13
здесь | Here | 11
который | which | 8
для | for | 8
с | with | 7
можно | Can | 7
найти | find | 7
если | If | 7
из | from | 7
быть | be | 7
спальня | bedroom | 6
несколько | some | 6
что | What | 6
не | Not | 6
по | on | 6
второй | second | 5
кетерик | goeric | 5
находиться | be | 5
попасть | get | 5
зал | hall | 5
убить | Kill | 5
то | That | 5
башня | tower | 4
тюрьма | jail | 4
тронный | Throne | 4
за | for | 4
изобель | National | 4
торм | Torm | 4
встретить | Meet | 4
смочь | San | 4
один | one | 4
возможность | opportunity | 4
но | But | 4
мочь | To be able | 4
весь | All | 4
это | This | 4
атаковать | attack | 4
стена | wall | 3
часть | Part | 3
причал | pier | 3
кухня | kitchen | 3
оказаться | be | 3
лестница | ladder | 3
этаж | floor | 3
кабинет | cabinet | 3
свой | mine | 3
гоблин | goblin | 3
у | in | 3
есть | There is | 3
он | He | 3
обитать | dwell | 3
приближённый | approximate | 3
астарион | astarion | 3
бой | Fight | 3
отсюда | From here | 3
вход | entrance | 3
битва | battle | 3
а | A | 3
яма | pit | 3
пристань | Pier | 3
там | there | 3
затем | then | 3
убрать | put away | 3
стражник | Guardian | 3
ближний | near | 3
тьма | Darkness | 3
персонаж | character | 3
лунный | lunar | 2
крепость | fortress | 2
главное | The main thing | 2
пристанище | harbor | 2
культистовый | cultist | 2
оплот | stronghold | 2
мрачный | gloomy | 2
скрываться | hide | 2
карта | map | 2
рядом | near | 2
войти | Enter | 2
просторный | spacious | 2
правый | right | 2
спуск | descent | 2
место | place | 2
где | Where | 2
два | two | 2
через | through | 2
выйти | Go out | 2
левый | left | 2
занятой | busy | 2
пойти | Go | 2
следующий | next | 2
покои | chambers | 2
бывший | former | 2
выход | exit | 2
также | Also | 2
ожидание | expectation | 2
многочисленный | numerous | 2
последователь | follower | 2
ждать | wait | 2
справа | undertaking | 2
старый | old | 2
знакомый | familiar | 2
лагерь | camp | 2
сообщение | message | 2
слева | left | 2
обсуждать | discuss | 2
впервые | For the first time | 2
увидеть | see | 2
демонстрация | demonstration | 2
включая | including | 2
огромный | huge | 2
наблюдать | observe | 2
неудачный | unsuccessful | 2
попытка | attempt | 2
приручить | tame | 2
лаборатория | laboratory | 2
попросить | Ask | 2
укусить | bite | 2
очень | Very | 2
библиотека | library | 2
дать | give | 2
незаметно | Incorrectly | 2
бальтазар | Baldazar | 2
жуткий | Terrible | 2
скрытый | hidden | 2
ещё | more | 2
помещение | premises | 2
книжный | book | 2
тут | there | 2
убедить | convince | 2
надо | necessary | 2
личный | private | 2
вещь | thing | 2
крыша | roof | 2
проходить | passes | 2
первый | first | 2
поздний | late | 2
открыться | open | 2
финальный | final | 2
локация | location | 2
почти | almost | 2
пленник | The captive | 2
освободить | Free | 2
суть | The essence | 2
являться | appear | 2
колония | colony | 2
отправлять | send | 2
груз | cargo | 2
врата | door | 2
контейнер | container | 2
личинка | larva | 2
подняться | rise | 2
заметить | notice | 2
крылатый | winged | 2
ужас | horror | 2
парапет | railing | 2
время | time | 2
вместо | instead of | 2
они | They | 2
лишь | only | 2
отметина | mark | 2
от | from | 2
священный | sacred | 2
тот | That | 2
похитить | to kidnap | 2
след | after | 2
свидетельство | certificate | 2
её | her | 2
спасти | Save | 2
скинуть | throw off | 2
тело | body | 2
визжать | scream | 2
бездна | abyss | 2
оно | what | 2
дважды | twice | 2
просунуть | will push | 2
рука | hand | 2
дыра | hole | 2
над | over | 2
засосать | suck | 2
внутрь | inside | 2
выбросить | throw it away | 2
базироваться | based | 2
высокий | high | 2
герольд | heroldold | 2
самый | most | 2
авторитетный | authoritative | 2
сообщество | community | 2
область | region | 2
генеалогия | genealogy | 2
решить | decide | 2
помощь | help | 2
хотеть | want | 2
максимально | maximum | 2
избежать | avoid | 2
начать | begin | 2
двор | yard | 2
перед | before | 2
даже | even | 2
вступить | join | 2
открытый | open | 2
обитатель | Inhabitant | 2
идти | go | 2
очередь | queue | 2
использовать | use | 2
скрытность | Stones | 2
режим | mode | 2
нужно | need to | 2
собрать | Collect | 2
команда | team | 2
боец | fighter | 2
набрать | dial | 2
стрела | arrow | 2
или | or | 2
аналогичный | Similar | 2
переходить | goes by | 2
походовый | Lidge | 2
создавать | create | 2
облако | cloud | 2
этот | this | 2
тактика | tactics | 2
так | So | 2
же | the same | 2
просто | Just | 2
столкнуть | Pour | 2
вода | water | 2
остальной | The rest | 2
скрытно | secretly | 2
после | after | 2
такой | such | 2
зачистка | Labbation | 2
мёртвый | dead | 2
скрипт | script | 2
противник | an opponent | 2
остаться | stay | 2
основное | The main one | 2
неофит | neophyte | 2
маленький | small | 2
